id,payment ,firstName ,lastName ,frequency_of_arrival ,phoneNumber ,product ,reliability ,quantity ,gender 
1,7932,Fancie,Golsworthy,Monthly,556-853-3714,equipment,1,662,Male
2,17981,Dolli,Skilton,Once,334-675-6281,equipment,0,510,Male
3,19664,Coop,Cuxon,Weekly,533-664-2390,food,0,169,Male
4,6327,Cissiee,Hawtrey,Yearly,926-389-0863,equipment,1,928,Female
5,16272,Marius,Matteacci,Weekly,910-525-0301,food,0,538,Female
6,19521,Lalo,Kitchen,Daily,167-141-7511,food,0,794,Female
7,12868,Karine,Kilroy,Never,339-506-3840,equipment,0,784,Male
8,11466,Rudiger,Backshell,Never,213-440-8508,food,1,534,Female
9,16856,Haleigh,Kegg,Monthly,753-502-7400,equipment,1,767,Female
10,16104,Emmie,Antonsen,Never,236-687-5088,food,0,291,Male
11,7013,Dahlia,Duval,Monthly,572-951-7739,equipment,1,32,Female
12,13870,Rodd,Paladino,Daily,883-387-4764,food,0,749,Male
13,13897,Doralynn,Wetherhead,Monthly,287-272-7648,equipment,0,62,Female
14,5575,Ambrosi,Huzzey,Once,903-829-9733,food,0,358,Male
15,17265,Mayor,Iles,Seldom,727-203-8227,equipment,0,924,Male
16,14130,Eward,Gourdon,Seldom,172-174-5552,food,1,525,Male
17,12244,Ashia,Capoun,Once,473-151-3958,equipment,0,992,Female
18,5758,Jaye,Lack,Weekly,573-513-2975,equipment,1,771,Male
19,11376,Baird,Ragless,Once,264-286-9382,equipment,0,687,Female
20,16759,Sloan,Pye,Weekly,408-519-1545,food,0,788,Male
21,7865,Toby,Tappington,Seldom,127-816-7908,equipment,0,710,Male
22,13089,Alisha,Crolly,Once,911-245-4381,equipment,0,70,Female
23,13925,Franz,Lamas,Never,193-758-3655,equipment,0,322,Female
24,13323,Margaretha,Studdert,Seldom,718-451-2452,food,1,773,Female
25,11015,Fulvia,Wenban,Never,169-548-8267,food,1,271,Male
26,19102,Tandi,Bener,Often,636-147-1558,food,1,349,Male
27,7089,Cale,Spira,Daily,242-825-8948,food,1,308,Male
28,13580,Jodi,Preator,Daily,817-478-1439,equipment,1,169,Female
29,7135,Page,Leyland,Seldom,153-677-3855,equipment,1,318,Female
30,13740,Witty,Cricket,Once,748-775-9461,food,0,831,Male
31,7969,Wally,Brocklehurst,Daily,101-358-7172,equipment,1,499,Male
32,10445,Kyrstin,Jepps,Daily,184-169-9640,equipment,0,36,Female
33,9621,Wilden,Rakestraw,Yearly,447-112-6097,food,0,390,Male
34,6365,Abigail,Lawlie,Monthly,919-706-6722,food,0,773,Male
35,14299,Colver,Stobbs,Once,558-763-2864,food,0,352,Male
36,11761,Omar,Southern,Daily,838-542-8381,equipment,1,108,Male
37,10450,Cordelia,MacDunleavy,Never,421-794-8027,equipment,1,256,Female
38,9009,Daisy,Perillo,Yearly,384-346-1315,food,0,440,Female
39,11093,Angelina,Snibson,Often,175-192-1255,equipment,1,355,Female
40,17128,Salvidor,Henken,Daily,824-328-1959,equipment,1,832,Female
41,13128,Wallas,Scargill,Monthly,961-772-7956,food,1,360,Female
42,14362,Langsdon,Robus,Seldom,708-524-6664,equipment,0,402,Male
43,5106,Mordy,Huddleston,Daily,843-438-2951,food,0,992,Female
44,17803,Arabelle,Domerque,Weekly,526-278-7327,food,1,537,Female
45,11116,Zsazsa,Spowage,Often,741-582-5519,equipment,1,545,Male
46,15542,Linoel,Fritz,Daily,329-719-2800,food,1,360,Male
47,5605,Katheryn,Gocke,Weekly,209-620-5150,equipment,0,818,Male
